CMU,P,B,T,D,K,G,M,N,NG,F,V,TH,DH,S,Z,SH,ZH,HH,CH,JH,R,Y,W,L,IY,IH,EY,EH,AE,AH,UW,UH,OW,AO,AA,AY,OY,AW
P,1.0,0.7175141242937854,0.8561357792352565,0.5726471106143106,0.8492588143304696,0.5661725428869797,0.15254237288135594,0.005669773372418918,0.0,0.6694696576396532,0.3725873260921351,0.6318614679706814,0.33451489480800783,0.6006400777886006,0.303293504625927,0.5961798791911606,0.29883330602848696,0.5923800564773158,0.5961798791911606,0.29883330602848696,0.005820770086727744,0.0,0.0,0.005946931463253473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.7175141242937854,1.0,0.5726471106143106,0.8561357792352565,0.5661725428869797,0.8492588143304696,0.4350282485875706,0.28915844199336477,0.28348866862094585,0.3725873260921351,0.6694696576396532,0.33451489480800783,0.6318614679706814,0.303293504625927,0.6006400777886006,0.29883330602848696,0.5961798791911606,0.2961900282386579,0.29883330602848696,0.5961798791911606,0.005820770086727744,0.0,0.0,0.005946931463253473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.8561357792352565,0.5726471106143106,1.0000000000000002,0.7155049786628735,0.8551144990425353,0.5710233033473409,0.005669773372418918,0.14651493598862023,0.022759601706970136,0.6197073589252166,0.3217711286727086,0.6415645577267352,0.343162437853835,0.7504813314803436,0.4520792116074436,0.6415645577267352,0.343162437853835,0.5959691460371026,0.6415645577267352,0.343162437853835,0.1504169039295383,0.022759601706970136,0.002840911956951946,0.15367709173454353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.5726471106143106,0.8561357792352565,0.7155049786628735,1.0000000000000002,0.5710233033473409,0.8551144990425353,0.28915844199336477,0.4310099573257469,0.3072546230440968,0.3217711286727086,0.6197073589252166,0.343162437853835,0.6415645577267352,0.4520792116074436,0.7504813314803436,0.343162437853835,0.6415645577267352,0.2987276766919143,0.343162437853835,0.6415645577267352,0.1504169039295383,0.022759601706970136,0.002840911956951946,0.15367709173454353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.8492588143304696,0.5661725428869797,0.8551144990425353,0.5710233033473409,0.9999999999999999,0.7163120567375886,0.0,0.002840911956951946,0.04332390734351717,0.5950266510502767,0.2975133255251384,0.5967020540642902,0.2987235002244449,0.598936893218089,0.3009583393782438,0.6197953919868783,0.32181683814703294,0.6693280870409113,0.6197953919868783,0.32181683814703294,0.0029165707783833546,0.04332390734351717,0.14893617021276598,0.0029797855383984534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.5661725428869797,0.8492588143304696,0.5710233033473409,0.8551144990425353,0.7163120567375886,0.9999999999999999,0.28308627144348986,0.2869321076521464,0.3274151030387117,0.2975133255251384,0.5950266510502767,0.2987235002244449,0.5967020540642902,0.3009583393782438,0.598936893218089,0.32181683814703294,0.6197953919868783,0.37250853624671565,0.32181683814703294,0.6197953919868783,0.0029165707783833546,0.04332390734351717,0.14893617021276598,0.0029797855383984534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.15254237288135594,0.4350282485875706,0.005669773372418918,0.28915844199336477,0.0,0.28308627144348986,1.0,0.8561357792352565,0.8504660058628376,0.0757049945446171,0.3725873260921351,0.0371683216453342,0.33451489480800783,0.005946931463253473,0.303293504625927,0.0014867328658133682,0.29883330602848696,0.0,0.0014867328658133682,0.29883330602848696,0.296859274423115,0.28348866862094585,0.28308627144348986,0.303293504625927,0.32466163540264337,0.32526904778662924,0.32526904778662924,0.32526904778662924,0.32496491583813747,0.3258798822172294,0.32466163540264337,0.3255740352402118,0.32526904778662924,0.32526904778662924,0.32466163540264337,0.3255740352402118,0.32526904778662924,0.3258798822172294
N,0.005669773372418918,0.28915844199336477,0.14651493598862023,0.4310099573257469,0.002840911956951946,0.2869321076521464,0.8561357792352565,1.0000000000000002,0.8762446657183501,0.02383489842020063,0.3217711286727086,0.044760317980935,0.343162437853835,0.15367709173454353,0.4520792116074436,0.04476031798093501,0.343162437853835,0.001486207346725942,0.04476031798093501,0.343162437853835,0.4424885620451466,0.3072546230440968,0.2869321076521464,0.4520792116074436,0.3258141474949839,0.32642371612424553,0.32642371612424553,0.32642371612424553,0.3261185045417284,0.32703671894800007,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32642371612424553,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32703671894800007
NG,0.0,0.28348866862094585,0.022759601706970136,0.3072546230440968,0.04332390734351717,0.3274151030387117,0.8504660058628376,0.8762446657183501,1.0000000000000002,0.0007448405756312698,0.2986810708281392,0.0029840211987290006,0.30138614107162903,0.023872169589832,0.322274289462732,0.044760317980935,0.343162437853835,0.037155183668148545,0.044760317980935,0.343162437853835,0.315437390764857,0.4310099573257469,0.3274151030387117,0.322274289462732,0.3258141474949839,0.32642371612424553,0.32642371612424553,0.32642371612424553,0.3261185045417284,0.32703671894800007,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32642371612424553,0.3258141474949839,0.3267297862487998,0.32642371612424553,0.32703671894800007
F,0.6694696576396532,0.3725873260921351,0.6197073589252166,0.3217711286727086,0.5950266510502767,0.2975133255251384,0.0757049945446171,0.02383489842020063,0.0007448405756312698,1.0000000000000002,0.6879875195007802,0.8851573305149791,0.572656949044554,0.8625010528583734,0.5500006713879483,0.8406260261554436,0.5281256446850184,0.8342435186609636,0.7281258888260904,0.4156255073556654,0.024469666533656897,0.0007448405756312698,0.0,0.025000030517634008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
