Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item
MONDE,5,1324,0.16,"mO,d,3,1,NULL,NULL,NULL,NN,NULL,NULL,monde
CONTE,5,193,0.04,"kO,t,3,1,NULL,NULL,NULL,NN,NULL,NULL,conte
zenith,6,2141,0.43,z"i.nIT,5,2,{zenith},{z"i.nIT},1,NN,753.69,0.79,,zenith
zephyr,6,2034,0.98,z"E.f@`,4,2,{zephyr},{z"E.f@`},1,NN,874.58,0.39,,zephyr
zeppelin,8,1526,1.18,z"E.p@.lIn,7,3,{zeppelin},{z"E.p@.lIn},1,NN,967.63,0.61,,zeppelin
zero,4,21278,21.45,z"I.ro,4,2,{zero},{z"I.ro},1,minor|NN|VB,561.76,0.97,,zero
zeroed,6,156,0.39,z"I.rod,5,2,{zero}>ed>,{z"I.ro}>d>,2,VB,929.23,0.76,,zeroed
zeros,5,898,0.98,z"I.roz,5,2,{zero}>s>,{z"I.ro}>z>,2,NN|VB,625.09,1,,zeros
zest,4,288,0.69,z"Est,4,1,{zest},{z"Est},1,NN,658.82,0.94,,zest
zigzag,6,110,0.45,z"Ig.zag,6,2,{zig}{zag},{z"Ig}.{zag},2,NN|VB,785.26,1,,zigzag
zigzagging,10,16,0.06,z"Ig.z%ag.IN,8,3,{zig}{zag}>ing>,{z"Ig}.{z%ag}.>IN>,3,VB|NN|JJ,955.4,0.78,,zigzagging
Zimbabwe,8,1591,0.35,zIm.b"Ab.wi,8,3,{zimbabwe},{zIm.b"Ab.wi},1,NN,875.87,0.91,,zimbabwe
zinc,4,1773,0.84,z"INk,4,1,{zinc},{z"INk},1,NN|JJ,624.03,0.91,,zinc
zing,4,220,1.18,z"IN,3,1,{zing},{z"IN},1,NN,810.3,0.59,,zing
Zion,4,931,1.29,z"aI@n,4,1,{zion},{z"aI@n},1,NN,806.38,0.76,,zion
zip,3,16636,7.63,z"Ip,3,1,{zip},{z"Ip},1,NN|JJ|VB,586.94,0.94,,zip
