example,Descriptive,IPA,CMU,CODE,UNVOICE,VOICE,SONORANT,NONSON,LIQUID,SEMI-GLID,VOCALIC,STOP,NASAL,FRICATIVE,AFFRICATE,APPROXIMANT,LATERAL,BILABIAL,LABIODENTAL,DENTAL,ALVEOLAR,POSTALVEOLAR,PALATAL,VELAR,GLOTTAL,FB1A,FB2A,FB3A,FB4A,FB5A,HL1A,HL2A,HL3A,HL4A,HL5A,HL6A,FB1B,FB2B,FB3B,FB4B,FB5B,HL1B,HL2B,HL3B,HL4B,HL5B,HL6B
pap,p,p,P,p,1,0,0,1,0,0,0,1,0,0,0,0,0,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bob,b,b,B,b,0,1,0,1,0,0,0,1,0,0,0,0,0,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tot,t,t,T,t,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dad,d,d,D,d,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kick,k,k,K,k,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.1,0.7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,g,g,G,g,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.1,0.7,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mitten (CT dialect),GlottalStop,ʔ,MISS,H,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me,m,m,M,m,0,1,1,0,0,0,0,0,1,0,0,0,0,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,n,n,N,n,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sing,G,ŋ,NG,G,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee,f,f,F,f,1,0,0,1,0,0,0,0,0,0.8,0.2,0,0,0.15,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vie,v,v,V,v,0,1,0,1,0,0,0,0,0,0.8,0.2,0,0,0.15,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thin,T,θ,TH,T,1,0,0,1,0,0,0,0,0,0.8,0.2,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
then,D,ð,DH,D,0,1,0,1,0,0,0,0,0,0.8,0.2,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so,s,s,S,s,1,0,0,1,0,0,0,0,0,0.8,0.2,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zoo,z,z,Z,z,0,1,0,1,0,0,0,0,0,0.8,0.2,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
show,S,∫,SH,S,1,0,0,1,0,0,0,0,0,0.8,0.2,0,0,0,0,0.05,0.1,0.7,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
