Item,Frequency,Pronunciation
a,20415.27,AH
abandon,8.1,AH B AE N D IH N
abandonment,0.96,AH B AE N D AH N M AH N T
abate,0.1,AH B EY T
abbey,3.18,AE B IY
abbot,0.84,AE B AH T
abbreviate,0.02,AH B R IY V IY EY T
abbreviation,0.24,AH B R IY V IY EY SH IH N
abdomen,3.35,AE B D AH M AH N
abdominal,3.41,AE B D AA M AH N AH L
abduction,3.63,AE B D AH K SH AH N
aberrant,0.29,AE B EH R AH N T
aberration,0.55,AE B AH R EY SH IH N
abet,0.1,AH B EH T
abeyance,0.04,AH B EY AH N S
abhor,0.24,AH B HH AO R
abhorrent,0.18,AE B HH AO R AH N T
abide,2.71,AH B AY D
ability,19.22,AH B IH L IH T IY
abject,0.39,AE B JH EH K T
abjectly,0.06,AE B JH EH K T L IY
ablate,0.02,AE B L EY T
ablation,0.02,AE B L EY SH AH N
able,159.9,EY B AH L
abler,0.02,EY B L AH R
abnormal,2.9,AE B N AO R M AH L
abnormality,0.51,AE B N AO R M AE L IH T IY
abnormally,0.39,AE B N AO R M AH L IY
aboard,26.63,AH B OW R D
abode,0.65,AH B OW D
abolish,0.47,AH B AA L IH SH
abolition,0.2,AE B AH L IH SH IH N
abolitionist,0.22,AE B AH L IH SH IH N IH S T
aboriginal,0.18,AE B AH R IH JH IH N AH L
aborigine,0.08,AE B AH R IH JH IH N IY
abortion,7.24,AH B AO R SH IH N
abortive,0.02,AH B AO R T IH V
abound,0.35,AH B AW N D
about,3631.49,AH B AW T
above,48.88,AH B AH V
aboveground,0.14,AH B AH V G R AW N D
abreaction,0.02,AE B R IY AE K SH AH N
abridge,0.02,AH B R IH JH
abroad,4.9,AH B R AO D
abrogate,0.02,AE B R AH G EY T
abrupt,1.14,AH B R AH P T
abruptness,0.08,AH B R AH P T N AH S
abscess,0.49,AE B S EH S
absence,6.31,AE B S IH N S
absent,2.57,AE B S IH N T
absentee,0.35,AE B S IH N T IY
absenteeism,0.1,AE B S AH N T IY IH Z AH M
absentia,0.18,AE B S EH N SH AH
absinthe,0.55,AE B S IH N TH
absolute,11.31,AE B S AH L UW T
absolutely,113.12,AE B S AH L UW T L IY
absoluteness,0.02,AE B S AH L UW T N AH S
absolution,0.94,AE B S AH L UW SH IH N
absorb,1.98,AH B S AO R B
absorber,0.06,AE B S AO R B AH R
absorption,0.35,AE B S AO R P SH AH N
abstain,0.51,AH B S T EY N
abstention,0.12,AE B S T EH N SH AH N
abstinence,0.88,AE B S T IH N IH N S
abstract,2.18,AE B S T R AE K T
abstraction,0.29,AE B S T R AE K SH IH N
absurd,9.71,AH B S AH R D
absurdity,0.63,AE B S AH R D IH T IY
abundance,0.88,AH B AH N D AH N S
abundant,0.57,AH B AH N D IH N T
abundantly,0.41,AH B AH N D AH N T L IY
abuse,10.25,AH B Y UW Z
abusive,1.63,AH B Y UW S IH V
abutment,0.12,AH B AH T M AH N T
abysmal,0.41,AH B IH Z M AH L
abyss,1.76,AH B IH S
acacia,0.16,AH K EY SH AH
academic,4.67,AE K IH D EH M IH K
academy,12.41,AH K AE D AH M IY
accede,0.14,AE K S IY D
accelerate,1.27,AE K S EH L AH R EY T
acceleration,0.86,AE K S EH L AH R EY SH AH N
accelerator,1.35,AE K S EH L AH R EY T AH R
accent,12.18,AE K S EH N T
accentuate,0.35,AE K S EH N CH UW EY T
accept,52.78,AE K S EH P T
acceptable,5.27,AE K S EH P T AH B AH L
acceptance,3.16,AE K S EH P T IH N S
accepting,4.04,AH K S EH P T IH NG
access,31.67,AE K S EH S
accessibility,0.04,AE K S EH S AH B IH L IH T IY
accessible,1.1,AE K S EH S IH B AH L
accession,0.12,AA K S EH SH IH N
accessory,2.88,AE K S EH S AH R IY
accident,81.29,AE K S IH D IH N T
accidental,3,AE K S AH D EH N T AH L
acclaim,0.43,AH K L EY M
acclamation,0.02,AE K L AH M EY SH IH N
acclimatize,0.02,AH K L AY M AH T AY Z
accolade,0.02,AE K AH L EY D
accommodate,2.14,AH K AA M AH D EY T
accommodation,0.94,AH K AA M AH D EY SH IH N
accompaniment,0.29,AH K AH M P AH N IY M AH N T
accompanist,0.2,AH K AH M P AH N IH S T
accompany,4.75,AH K AH M P AH N IY
accomplice,4.24,AH K AA M P L AH S
accomplish,5.84,AH K AA M P L IH SH
accomplished,7.53,AH K AA M P L IH SH T
accomplishment,1.88,AH K AA M P L IH SH M EH N T
accord,1.63,AH K AO R D
accordance,1.59,AH K AO R D AH N S
according,41.86,AH K AO R D IH NG
accordion,1.31,AH K AO R D IY AH N
accost,0.06,AH K AO S T
account,44.71,AH K AW N T
accountability,0.47,AH K AW N AH B IH L IH T IY
accountable,1.41,AH K AW N T AH B AH L
accountant,6.18,AH K AW N T AH N T
accounting,4.51,AH K AW N T IH NG
accreditation,0.18,AH K R EH D AH T EY SH AH N
accrue,0.08,AH K R UW
accumulate,0.57,AH K Y UW M Y UH L EY T
accumulation,0.25,AH K Y UW M Y AH L EY SH AH N
accuracy,1.49,AE K Y AH R AH S IY
accurate,7.84,AE K Y AH R IH T
accusation,2.8,AE K Y UW Z EY SH IH N
accuse,5.69,AH K Y UW Z
accustom,0.12,AH K AH S T AH M
ace,14.73,EY S
acetate,0.12,AE S AH T EY T
acetone,0.16,AE S AH T OW N
ache,2.49,EY K
achieve,7.33,AH CH IY V
achievement,3.49,AH CH IY V M AH N T
acid,9.96,AE S IH D
acidity,0.2,AH S IH D IH T IY
acknowledge,6.14,AE K N AA L IH JH
acknowledgment,0.51,AE K N AA L IH JH M AH N T
acolyte,0.14,AE K AH L AY T
acorn,0.73,EY K AO R N
acoustic,0.96,AH K UW S T IH K
acoustical,0.12,AH K UW S T IH K AH L
acoustics,0.43,AH K UW S T IH K S
acquaint,0.39,AH K W EY N T
acquaintance,5.35,AH K W EY N T AH N S
acquiesce,0.06,AE K W IY EH S
acquiescence,0.1,AE K W IY EH S AH N S
acquire,2.65,AH K W AY R
acquisition,1.45,AE K W AH Z IH SH IH N
acquisitiveness,0.02,AH K W IH Z IH T IH V N EH S
acquit,0.47,AH K W IH T
acquittal,0.73,AH K W IH T AH L
acre,1.82,EY K AH R
acreage,0.43,EY K AH R IH JH
acrid,0.04,AE K R AH D
acrobat,0.59,AE K R AH B AE T
acrobatic,0.24,AE K R AH B AE T IH K
acrobatics,0.22,AE K R AH B AE T IH K S
across,94.14,AH K R AO S
acrylic,0.45,AH K R IH L IH K
act,109.12,AE K T
acting,52.45,AE K T IH NG
action,61.08,AE K SH IH N
activate,4.67,AE K T IH V EY T
activation,0.84,AE K T AH V EY SH AH N
active,11.45,AE K T IH V
actively,0.82,AE K T IH V L IY
