Phoneme,Sum,Relative Frequency
AH,197065.3799999979,0.08427928286728992
B,43991.009999999864,0.018813709315191777
AE,83922.1499999996,0.035891127191803936
N,150542.00999999887,0.06438255488711628
D,79433.21999999987,0.03397133894060809
IH,134671.67999999924,0.05759526413484299
M,67302.75999999973,0.02878348468812413
T,189468.8100000001,0.08103044498490292
EY,34083.7700000002,0.014576663303385392
IY,98057.9199999997,0.04193659574836609
R,130453.97999999924,0.05579147327442209
V,38452.209999999875,0.01644492139340993
SH,14755.020000000017,0.006310304246705
AA,41839.890000000145,0.01789373620291065
L,87196.35999999978,0.03729141409535304
K,72198.50999999947,0.030877258333690472
EH,65238.49999999983,0.02790065913829074
S,90712.24999999978,0.03879506069142323
HH,56132.98000000003,0.024006486068755356
AO,32546.9600000001,0.013919413183129415
AY,74994.21999999981,0.03207290433658019
JH,11159.150000000043,0.0047724524693709865
OW,57017.90999999978,0.02438494557182855
AW,20458.530000000046,0.00874953397151219
G,28282.77000000011,0.012095739866132426
P,36874.55000000043,0.01577020088487432
Z,14876.92000000006,0.006362437424950344
TH,20057.00000000002,0.008577810960348558
UW,89308.84000000005,0.03819486197377551
Y,52911.939999999995,0.022628938468629643
CH,8633.880000000016,0.003692465996626328
NG,30841.850000000075,0.013190185918503591
UH,14390.620000000017,0.006154460685157859
W,60127.850000000006,0.025714978847893182
ZH,549.73,0.00023510395469075176
OY,1811.4199999999994,0.0007746930413219606
F,39837.839999999946,0.01703751610852128
DH,68041.85999999999,0.02909957682956082
