Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item,Frequency,Pronunciation,Letters,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Mean Shortest Path
zero,4,21278,21.45,"z""I.ro",4,2,{zero},"{z""I.ro}",1,minor|NN|VB,561.76,0.97,,zero,21.45,Z IH R OW,4,1,0.0,0.0,0.010666035816129788,-3.3586047483612154e-18,
zest,4,288,0.69,"z""Est",4,1,{zest},"{z""Est}",1,NN,658.82,0.94,,zest,0.69,Z EH S T,4,9,1.0,0.0,0.013589296334882707,1.074372696000762e-16,
zinc,4,1773,0.84,"z""INk",4,1,{zinc},"{z""INk}",1,NN|JJ,624.03,0.91,,zinc,0.84,Z IH NG K,4,0,0.0,0.0,0.0,6.244546556318483e-19,
zone,4,17300,20.12,"z""on",3,1,{zone},"{z""on}",1,NN,577.73,1,,zone,20.12,Z OW N,4,5,1.0,0.0,0.013125318931448856,-1.1483104376622429e-17,
zoom,4,4920,3.55,"z""um",3,1,{zoom},"{z""um}",1,VB|NN,549.76,1,,zoom,3.55,Z UW M,4,4,1.0,0.0,0.011678814353647132,-8.87612626566415e-18,
wolf,4,21576,20.27,"w""Ulf",4,1,{wolf},"{w""Ulf}",1,NN|VB,581.5,0.94,,wolf,20.27,W UH L F,4,1,0.0,0.0,0.010560601439096779,5.678651657789116e-19,
womb,4,2491,3.47,"w""um",3,1,{womb},"{w""um}",1,NN,700.88,0.81,,womb,3.47,W UW M,4,3,1.0,0.0,0.010354697680620082,5.801108721831301e-19,
wont,4,5408,1.59,"w""Ont",4,1,{wont},"{w""Ont}",1,JJ|NN|VB,877.12,0.5,,wont,1.59,W AO N T,4,1,0.0,0.0,0.01237570481144154,-3.383791058937087e-18,
wood,4,24035,27.0,"w""Ud",3,1,{wood},"{w""Ud}",1,NN,595.42,0.94,,wood,27.0,W UH D,4,6,0.4,8.563383321575496e-06,0.01352329003828996,-1.7953982498636154e-17,
wool,4,2066,3.16,"w""Ul",3,1,{wool},"{w""Ul}",1,NN,657.94,0.97,,wool,3.16,W UH L,4,5,0.6,2.045260082309672e-06,0.012907731458294743,-4.047564446218949e-18,
word,4,138155,235.55,"w""3`d",3,1,{word},"{w""3`d}",1,NN,620.22,0.97,,word,235.55,W AH R D,4,7,0.19047619047619047,1.592356388788427e-05,0.01409160007977638,-1.741525589353354e-17,
work,4,451298,798.02,"w""3`k",3,1,{work},"{w""3`k}",1,NN|VB,633.15,1,,work,798.02,W AH R K,4,5,0.4,2.6546212027146646e-06,0.01349746327606023,-5.631582078234215e-18,
