Item,I_Mean_RT,Log_Frequency,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
zero,561.76,3.065724645374026,1,0.0,0.0,0.010666035816129788,-3.3586047483612154e-18
zest,658.82,-0.37106368139083207,9,1.0,0.0,0.013589296334882707,1.074372696000762e-16
zinc,624.03,-0.1743533871447778,0,0.0,0.0,0.0,6.244546556318483e-19
zone,577.73,3.0017143452315387,5,1.0,0.0,0.013125318931448856,-1.1483104376622429e-17
zoom,549.76,1.2669476034873244,4,1.0,0.0,0.011678814353647132,-8.87612626566415e-18
wolf,581.5,3.0091419604639085,1,0.0,0.0,0.010560601439096779,5.678651657789116e-19
womb,700.88,1.244154593958768,3,1.0,0.0,0.010354697680620082,5.801108721831301e-19
wont,877.12,0.4637340162321402,1,0.0,0.0,0.01237570481144154,-3.383791058937087e-18
wood,595.42,3.295836866004329,6,0.4,8.563383321575496e-06,0.01352329003828996,-1.7953982498636154e-17
wool,657.94,1.1505720275988207,5,0.6,2.045260082309672e-06,0.012907731458294743,-4.047564446218949e-18
word,620.22,5.46192320514605,7,0.19047619047619047,1.592356388788427e-05,0.01409160007977638,-1.741525589353354e-17
work,633.15,6.682133659792387,5,0.4,2.6546212027146646e-06,0.01349746327606023,-5.631582078234215e-18
worm,638.64,2.3145136638593193,5,0.2,4.015429710657511e-06,0.013236886978841952,-1.1424277035972381e-17
wrap,555.79,2.8791984572980396,2,1.0,0.0,0.010176919862665263,3.683310948455015e-18
writ,793.94,0.5481214085096876,3,0.3333333333333333,2.425056805744067e-05,0.012911359263651206,-6.173706419993534e-18
yank,758.77,1.5496879080283263,4,1.0,0.0,0.012436008733099888,-2.695049803236106e-18
yard,623.47,3.221272949467922,6,0.6666666666666666,4.791640056023607e-06,0.013797451947761224,-3.204169839952616e-17
yarn,642.13,0.4637340162321402,6,0.4,1.1508918191433019e-05,0.013102856891064175,-1.5035546725222675e-17
yawl,815.44,-1.4271163556401458,2,0.0,3.2102125976625242e-06,0.01133307419762452,-3.4152399471674767e-19
